会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
リミックスポイント,3825,小売業,スタンダード（内国株式）,2025-03-31,,Tokyo,43133775872.0,1.6449496,21129000000.0,-1212000000.0,0.26825002,-593000000.0,0.071669996,0.07564,0.8718298203767707,,2633000000.0,2519000000.0,18657000000.0,319000000.0,5103000000.0,350000000.0,4784000000.0,0.11091076316148574
システムインテグレータ,3826,情報・通信業,スタンダード（内国株式）,2025-02-28,,Saitama,4836540928.0,1.2001355,4768979000.0,271549000.0,0.076680005,583408000.0,0.123380005,,0.8252660432345221,,865333000.0,855510000.0,4462962000.0,,2968589000.0,10000000.0,,
朝日ネット,3834,情報・通信業,プライム（内国株式）,2025-03-31,,Tokyo,18377226240.0,1.4706491,13078000000.0,2346000000.0,0.1503,1752000000.0,0.112799995,0.09995,0.8851694055589369,11.889632,1698000000.0,1696000000.0,8924000000.0,,4161000000.0,401000000.0,,
ｅＢＡＳＥ,3835,情報・通信業,プライム（内国株式）,2025-03-31,,Osaka,22447550464.0,3.2882621,5469897000.0,1731670000.0,0.13741,1250789000.0,0.22391,0.18381001,0.9069729430496575,17.605635,754694000.0,745042000.0,6422609000.0,,5349764000.0,1342828000.0,,
アバントグループ,3836,情報・通信業,プライム（内国株式）,2025-06-30,,Tokyo,55984361472.0,3.59312,28227703000.0,4604154000.0,0.1342,3434688000.0,0.12166,0.23739,0.6393147678860939,13.882353,8775067000.0,8440619000.0,20765941000.0,33223000.0,14593169000.0,830184000.0,14559946000.0,0.2600716631783325
アドソル日進,3837,情報・通信業,プライム（内国株式）,2025-03-31,,Tokyo,23884869632.0,3.3534753,15463041000.0,1710918000.0,0.13246,1209503000.0,0.0801,0.17577,0.7157121043856094,13.438113,2810241000.0,2215390000.0,6679608000.0,,2887453000.0,1822796000.0,,
ＯＤＫソリューションズ,3839,情報・通信業,スタンダード（内国株式）,2025-03-31,,Osaka,5077971456.0,0.83259034,6472393000.0,516129000.0,-0.20833,263367000.0,0.03737,0.03985,0.6813046354624472,,2949154000.0,1787471000.0,5840706000.0,1144132000.0,3273321000.0,1183723000.0,2129189000.0,0.41929912730884006
パス,3840,情報・通信業,スタンダード（内国株式）,2025-03-31,,Tokyo,7623993856.0,3.031744,2253739000.0,-208368000.0,-0.25876,-276771000.0,-0.16129999,-0.19839,0.7609645886219178,,777412000.0,557829000.0,1540257000.0,293392000.0,154663000.0,,-138729000.0,-0.018196368284166677
ジーダット,3841,情報・通信業,スタンダード（内国株式）,2025-03-31,,Chuo,5454497792.0,2.1421824,2062768000.0,256991000.0,0.17219,213428000.0,0.061160002,0.04393,0.8410840432333062,,679107000.0,675407000.0,3107601000.0,,2545775000.0,132121000.0,,
ネクストジェン,3842,情報・通信業,スタンダード（内国株式）,2025-03-31,,Tokyo,3505863168.0,1.5464783,3620794000.0,262272000.0,0.14442,204883000.0,0.08179,0.14658,0.614379600599011,,1363745000.0,1049945000.0,2753732000.0,475770000.0,1809821000.0,,1334051000.0,0.3805199849716439
