会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ミライト・ワン,1417,建設業,プライム（内国株式）,2025-03-31,東京都,246998499328,0.9766817,578599000000.0,27985000000.0,0.00847,17179000000.0,0.02596,0.06068,0.4862953960936439,12.79476,267864000000.0,160983000000.0,321194000000.0,127491000000.0,53475000000.0,19397000000.0,66907900000.0,0.2708838320153116
インターライフホールディングス,1418,建設業,スタンダード（内国株式）,2025-02-28,東京都,6517414400,1.5000682,16940669000.0,875644000.0,0.10711,705077000.0,0.04559,0.19715999,0.4465537708712912,,5223472000.0,4049042000.0,6957357000.0,1749188000.0,1513427000.0,536023000.0,2109101100.0,0.32361009605281504
タマホーム,1419,建設業,プライム（内国株式）,2025-05-31,東京都,102038495232,2.979574,200817000000.0,4113000000.0,0.11767,1478000000.0,0.00736,0.04099,0.3710212129748001,,58028000000.0,44837000000.0,67570000000.0,19049000000.0,31001000000.0,315000000.0,9762500000.0,0.09567467628568488
トライアルホールディングス,141A,小売業,グロース（内国株式）,2025-06-30,福岡県,265530081280,2.105161,803829000000.0,21106000000.0,0.03694,11752000000.0,0.0146200005,0.09861,0.4200137869942687,15.414656,171257000000.0,151064000000.0,143172000000.0,38558000000.0,72325000000.0,5741000000.0,-24066300000.0,-0.09063492875830599
サンヨーホームズ,1420,建設業,スタンダード（内国株式）,2025-03-31,大阪府,7888963584,0.5245323,45518339000.0,956035000.0,0.00754,673078000.0,0.02262,0.07575,0.3030685213634473,,35232145000.0,23316348000.0,45291402000.0,18407000000.0,10432054000.0,30140000.0,10080355000.0,1.2777793803541533
日本アクア,1429,建設業,プライム（内国株式）,2024-12-31,東京都,28323850240,2.7746706,30265345000.0,2575689000.0,0.06561,1839630000.0,0.060599998,0.21040002,0.43810163917250866,10.816078,13525928000.0,13415988000.0,18819894000.0,4526173000.0,2263300000.0,3380000.0,5296332000.0,0.18699195042771133
ジンジブ,142A,サービス業,グロース（内国株式）,2025-03-31,大阪府,2420768512,,2400260000.0,62546000.0,0.0,-184425000.0,0.0,,0.18647821303869516,,1700830000.0,1339666000.0,1843605000.0,514605000.0,1593893000.0,50000.0,142810000.0,0.058993662257285674
ファーストコーポレーション,1430,建設業,スタンダード（内国株式）,2025-05-31,東京都,11947008000,1.224089,43194307000.0,2579580000.0,0.08248,1669537000.0,0.03864,0.18313,0.39216533382295893,6.21118,15128862000.0,11596123000.0,24208066000.0,4714443000.0,5400034000.0,32033000.0,9101627100.0,0.7618331803243121
Ｌｉｂ　Ｗｏｒｋ,1431,建設業,グロース（内国株式）,2025-06-30,熊本県,16739556352,3.5510314,16004726000.0,833260000.0,0.08713,494687000.0,0.030869998,0.10642,0.40912648858982825,,6808925000.0,4866377000.0,9304283000.0,3813001000.0,3897392000.0,10030000.0,2502379000.0,0.1494889677707033
ベステラ,1433,建設業,プライム（内国株式）,2025-01-31,東京都,9254846464,1.7709235,10897473000.0,373634000.0,0.03581,409806000.0,0.04907,0.10578,0.4393745681328702,12.211539,6192955000.0,5293229000.0,7130366000.0,3752104000.0,1599484000.0,3403448000.0,3319824600.0,0.3587120124481408
