会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
リミックスポイント,3825,小売業,スタンダード（内国株式）,2025-03-31,東京都,46253514752.0,1.7639239,21129000000.0,-1212000000.0,0.26825002,-593000000.0,0.071669996,0.07564,0.8718298203767707,,2633000000.0,2519000000.0,18657000000.0,319000000.0,5103000000.0,350000000.0,16269000000.0,0.3517354321553808
システムインテグレータ,3826,情報・通信業,スタンダード（内国株式）,2025-02-28,埼玉県,4803787776.0,1.1920081,4768979000.0,271549000.0,0.076680005,583408000.0,0.123380005,,0.8252660432345221,,865333000.0,855510000.0,4462962000.0,,2968589000.0,10000000.0,3604629000.0,0.7503722412569793
朝日ネット,3834,情報・通信業,プライム（内国株式）,2025-03-31,東京都,17963673600.0,1.4375544,13078000000.0,2346000000.0,0.1503,1752000000.0,0.112799995,0.09995,0.8851694055589369,11.622074,1698000000.0,1696000000.0,8924000000.0,,4161000000.0,401000000.0,7506700000.0,0.4178822309485739
ｅＢＡＳＥ,3835,情報・通信業,プライム（内国株式）,2025-03-31,大阪府,21774123008.0,3.1896143,5469897000.0,1731670000.0,0.13741,1250789000.0,0.22391,0.18381001,0.9069729430496575,17.077465,754694000.0,745042000.0,6422609000.0,,5349764000.0,1342828000.0,6607894600.0,0.30347466107232896
アバントグループ,3836,情報・通信業,プライム（内国株式）,2025-06-30,東京都,54305558528.0,3.4853733,28227703000.0,4604154000.0,0.1342,3434688000.0,0.12166,0.23739,0.6393147678860939,13.4660635,8775067000.0,8440619000.0,20765941000.0,33223000.0,14593169000.0,830184000.0,12572002800.0,0.23150489822359277
アドソル日進,3837,情報・通信業,プライム（内国株式）,2025-03-31,東京都,22173818880.0,3.1132412,15463041000.0,1710918000.0,0.13246,1209503000.0,0.0801,0.17577,0.7157121043856094,12.475442,2810241000.0,2215390000.0,6679608000.0,,2887453000.0,1822796000.0,5145324200.0,0.2320450179486629
ＯＤＫソリューションズ,3839,情報・通信業,スタンダード（内国株式）,2025-03-31,大阪府,5004378112.0,0.82052386,6472393000.0,516129000.0,-0.20833,263367000.0,0.03737,0.03985,0.6813046354624472,,2949154000.0,1787471000.0,5840706000.0,1144132000.0,3273321000.0,1183723000.0,3720158100.0,0.7433806992080457
パス,3840,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,7549249024.0,3.002021,2253739000.0,-208368000.0,-0.25876,-276771000.0,-0.16129999,-0.19839,0.7609645886219178,,777412000.0,557829000.0,1540257000.0,293392000.0,154663000.0,,762845000.0,0.10104912390289697
ジーダット,3841,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,5042619904.0,1.9804226,2062768000.0,256991000.0,0.17219,213428000.0,0.061160002,0.04393,0.8410840432333062,,679107000.0,675407000.0,3107601000.0,,2545775000.0,132121000.0,2520978700.0,0.4999343095441841
ネクストジェン,3842,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,3474947072.0,1.5328408,3620794000.0,262272000.0,0.14442,204883000.0,0.08179,0.14658,0.614379600599011,,1363745000.0,1049945000.0,2753732000.0,475770000.0,1809821000.0,,1389987000.0,0.4000023514602757
フリービット,3843,情報・通信業,プライム（内国株式）,2025-04-30,東京都,33874432000.0,4.8788753,55073206000.0,5883783000.0,0.111169994,2748537000.0,0.05262,0.32386002,0.16028032419817345,9.38443,32022361000.0,15846408000.0,34104399000.0,21750041000.0,20677536000.0,1076831000.0,2835819700.0,0.08371563839063043
コムチュア,3844,情報・通信業,プライム（内国株式）,2025-03-31,東京都,50766970880.0,2.7211118,36341000000.0,4631000000.0,0.09691,3160000000.0,0.088360004,0.18142,0.7210573581664129,13.560477,7143000000.0,6590000000.0,20843000000.0,200000000.0,12881000000.0,88000000.0,13761600000.0,0.2710738844854239
アイフリークモバイル,3845,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,4758739968.0,5.9199877,2004586000.0,-61871000.0,0.02623,-110605000.0,-0.02315,-0.08405,0.6175781235970794,,532402000.0,315050000.0,1383737000.0,287724000.0,1003616000.0,,851335000.0,0.17889924764218595
パシフィックシステム,3847,情報・通信業,スタンダード（内国株式）,2025-03-31,埼玉県,10061076480.0,1.5128967,11354180000.0,867074000.0,0.034089997,654717000.0,0.0583,0.105,0.6853433103059484,,3068718000.0,2576476000.0,6739902000.0,420995000.0,2783851000.0,290287000.0,3874384900.0,0.3850865171039829
データ・アプリケーション,3848,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,5104636416.0,1.069701,2607070000.0,329200000.0,-0.03801,268283000.0,0.1028,,0.7728905973243131,,1403371000.0,1137693000.0,4225199000.0,139436000.0,3828094000.0,1313660000.0,3741390000.0,0.7329395661310896
エヌ・ティ・ティ・データ・イントラマート,3850,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,18540808192.0,3.595968,11829406000.0,551729000.0,0.08981,341309000.0,0.04659,0.11766,0.551946541410574,33.568283,4154586000.0,3245413000.0,5120576000.0,0.0,2519987000.0,335094000.0,1200555800.0,0.06475207485928346
日本一ソフトウェア,3851,情報・通信業,スタンダード（内国株式）,2025-03-31,岐阜県,4351810048.0,0.5780063,5299892000.0,-274726000.0,-0.3625,-157225000.0,-0.04887,-0.029509999,0.7054009620413767,,3286016000.0,1967302000.0,6868170000.0,1841081000.0,5195499000.0,1174718000.0,4404456600.0,1.0120976217756092
アステリア,3853,情報・通信業,プライム（内国株式）,2025-03-31,東京都,20696121344.0,3.4373026,3171258000.0,781201000.0,0.40397,588623000.0,0.28858,0.16352,0.7769187745651057,,1618463000.0,1307030000.0,3124272000.0,100000000.0,2814062000.0,3033852000.0,3629505400.0,0.1753712852602803
アイル,3854,情報・通信業,プライム（内国株式）,2024-07-31,大阪府,59542323200.0,5.490704,17508405000.0,4263813000.0,0.26062,2887564000.0,0.18079,0.33273998,0.6839564330528155,31.561506,4473262000.0,2555067000.0,11567945000.0,,6663216000.0,146256000.0,7197062200.0,0.12087304984431646
Ａｂａｌａｎｃｅ,3856,電気機器,スタンダード（内国株式）,2024-06-30,東京都,17428580352.0,0.59951764,208972000000.0,23353000000.0,0.10049,9530000000.0,0.01313,,0.16050155487337936,,107743000000.0,83261000000.0,89197000000.0,44955000000.0,37740000000.0,2582000000.0,-16738600000.0,-0.9604109836794125
ユビキタスＡＩ,3858,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,3524649216.0,1.5637252,4138789000.0,96498000.0,-0.13271,91084000.0,0.0103400005,0.01898,0.694410568281014,,1054429000.0,730717000.0,2513353000.0,65414000.0,1346054000.0,265341000.0,1644662700.0,0.4666174133114074
王子ホールディングス,3861,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,724348829696.0,0.7026491,1849264000000.0,67687000000.0,0.0081,46171000000.0,0.0,0.02253,0.41814400595059636,10.369352,1502241000000.0,738818000000.0,806504000000.0,903388000000.0,58429000000.0,197835000000.0,-557252500000.0,-0.769315110557812
日本製紙,3863,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,138867310592.0,0.29626426,1182431000000.0,19708000000.0,0.01875,4539000000.0,0.00634,0.01993,0.2829928586022023,9.974298,1192875000000.0,479192000000.0,638305000000.0,874926000000.0,185941000000.0,172984000000.0,-433481200000.0,-3.1215496156153857
三菱製紙,3864,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,28708691968.0,0.34877807,175942000000.0,4567000000.0,-0.030940002,4343000000.0,0.0179,0.03521,0.40944783567143894,12.12963,122937000000.0,88882000000.0,91512000000.0,72334000000.0,6239000000.0,24813000000.0,-14055900000.0,-0.4896043336167088
北越コーポレーション,3865,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,158099406848.0,0.6063088,305718000000.0,19728000000.0,0.04507,15529000000.0,0.05053,0.059710003,0.6329395868048758,9.4094095,153014000000.0,82005000000.0,179486000000.0,90630000000.0,27644000000.0,30608000000.0,47897600000.0,0.3029587583845253
みのや,386A,小売業,スタンダード（内国株式）,2024-06-30,埼玉県,7325360128.0,2.5512478,22540002000.0,967665000.0,0.034849998,714244000.0,0.031689998,0.33331,0.32541649810982043,,5182736000.0,3554514000.0,3233742000.0,2247262000.0,1108145000.0,176398000.0,-1825515400.0,-0.2492048674879838
中越パルプ工業,3877,パルプ・紙,プライム（内国株式）,2025-03-31,,20618170368.0,0.3653926,111009000000.0,4848000000.0,-0.00191,1761000000.0,0.010650001,0.00423,0.4666989367288002,,65948000000.0,52103000000.0,54612000000.0,37194000000.0,9005000000.0,11651000000.0,-3180300000.0,-0.15424744015773184
巴川コーポレーション,3878,化学,スタンダード（内国株式）,2025-03-31,,7452717568.0,0.50241953,34432000000.0,1286000000.0,0.0434,749000000.0,0.020539999,0.05037,0.33065723522902335,6.972477,26460000000.0,18197000000.0,21639000000.0,13882000000.0,4925000000.0,6318000000.0,-398400000.0,-0.05345701032743067
フラー,387A,情報・通信業,グロース（内国株式）,2024-06-30,新潟県,3458860800.0,,1517907000.0,12963000.0,0.0,28777000.0,0.0,,0.595837630976246,,520762000.0,294523000.0,1137985000.0,228319000.0,886065000.0,19769000.0,631061300.0,0.18244772961085917
大王製紙,3880,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,146612486144.0,0.64088017,668912000000.0,9808000000.0,0.01327,-11197000000.0,-0.0148,-0.03487,0.2671572997948234,16.755419,636355000000.0,266702000000.0,360882000000.0,444637000000.0,113189000000.0,21382000000.0,-260505600000.0,-1.776830929284811
ニッポン高度紙工業,3891,パルプ・紙,スタンダード（内国株式）,2025-03-31,,22838941696.0,0.94838226,16033765000.0,2460651000.0,0.18424,1781054000.0,0.10256,0.073410004,0.6777371261510852,9.772368,11365995000.0,6768881000.0,17507454000.0,8286943000.0,4126719000.0,302683000.0,6353337100.0,0.27818001309196916
岡山製紙,3892,パルプ・紙,スタンダード（内国株式）,2025-05-31,岡山県,7264257536.0,0.56116223,11522767000.0,1032592000.0,0.048520003,798698000.0,0.06926,0.06339,0.7800839845409626,,3649183000.0,2906595000.0,10140417000.0,38694000.0,2866006000.0,3656133000.0,9050527100.0,1.2458984356140537
