会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
マツモト,7901,その他製品,スタンダード（内国株式）,2025-04-30,,Kitakyushu,1041494272.0,1.4752053,2169091000.0,-265190000.0,-0.36387002,-653358000.0,-0.29173002,-0.62059,0.39565244909349306,,1260420000.0,718047000.0,605736000.0,348324000.0,219842000.0,247950000.0,-128482000.0,-0.12336313646091757
ソノコム,7902,その他製品,スタンダード（内国株式）,2025-03-31,,Tokyo,3392088576.0,0.3810479,2423114000.0,201970000.0,0.10731,210719000.0,0.08167,0.022950001,0.9354385066147092,,614996000.0,377123000.0,5067927000.0,0.0,3767450000.0,2285377000.0,3767450000.0,1.110657907536905
ヨネックス,7906,その他製品,スタンダード（内国株式）,2025-03-31,,Tokyo,328528625664.0,4.618935,138276000000.0,14180000000.0,0.15749,10591000000.0,0.08181,0.17809999,0.6316783963633377,31.02558,40125000000.0,24931000000.0,73216000000.0,11206000000.0,29478000000.0,276000000.0,18272000000.0,0.05561768008212332
きもと,7908,化学,スタンダード（内国株式）,2025-03-31,,Saitama,11590290432.0,0.6145106,11294000000.0,1341000000.0,0.11554,989000000.0,0.07456,0.044899996,0.8172350950273366,,4212000000.0,2572000000.0,16901000000.0,,12885000000.0,1185000000.0,,
ＴＯＰＰＡＮホールディングス,7911,その他製品,プライム（内国株式）,2025-03-31,,Tokyo,1099570610176.0,0.8654315,1717960000000.0,84093000000.0,0.03408,89348000000.0,0.05185,0.06712,0.51431898777259,14.333832,1096481000000.0,822884000000.0,1406905000000.0,467596000000.0,768989000000.0,310633000000.0,301393000000.0,0.2741006327476853
大日本印刷,7912,その他製品,プライム（内国株式）,2025-03-31,,Tokyo,1129415704576.0,0.99205333,1457609000000.0,93612000000.0,0.06276,110682000000.0,0.06321,0.07754,0.592253360294248,12.808233,709062000000.0,435780000000.0,824692000000.0,175759000000.0,254995000000.0,393125000000.0,79236000000.0,0.07015663026374014
共同印刷,7914,その他製品,プライム（内国株式）,2025-03-31,,Tokyo,42432311296.0,0.6678014,99977000000.0,2336000000.0,0.0191,3310000000.0,0.040409997,0.06309,0.4984782195168347,,63256000000.0,26262000000.0,47780000000.0,13015000000.0,12254000000.0,17501000000.0,-761000000.0,-0.017934446103852416
ＮＩＳＳＨＡ,7915,その他製品,プライム（内国株式）,2024-12-31,,Kyoto,66757316608.0,0.61341476,195598000000.0,5818000000.0,0.025799999,3862000000.0,-0.00193,-0.00059999997,0.4552476274025042,9.601634,135260000000.0,63982000000.0,128627000000.0,72783000000.0,50970000000.0,8132000000.0,-21813000000.0,-0.3267507010218262
光村印刷,7916,その他製品,スタンダード（内国株式）,2025-03-31,,Shinagawa,4778695168.0,0.27174836,14756503000.0,-158794000.0,-0.029849999,70563000.0,0.011030001,0.0095999995,0.6340731435456191,,9944576000.0,5381532000.0,10377351000.0,3552541000.0,4145913000.0,5158886000.0,593372000.0,0.1241702973592979
ＺＡＣＲＯＳ,7917,化学,プライム（内国株式）,2025-03-31,,Tokyo,18868185088.0,0.83348775,150735000000.0,10117000000.0,0.08805,6530000000.0,0.04325,0.07598,0.597689798994322,2.7399068,53234000000.0,42566000000.0,86783000000.0,4669000000.0,14986000000.0,2667000000.0,10317000000.0,0.5467934489661924
ヴィア・ホールディングス,7918,小売業,スタンダード（内国株式）,2025-03-31,,Tokyo,5110076416.0,4.7447577,17373000000.0,199000000.0,0.00391,-19000000.0,-0.0010899999,-0.0175,0.18177533385703062,,5208000000.0,2127000000.0,1936000000.0,2582000000.0,927000000.0,371000000.0,-1655000000.0,-0.32386991216375577
野崎印刷紙業,7919,その他製品,スタンダード（内国株式）,2025-03-31,,Kyoto,3269376000.0,0.7533138,14570564000.0,690033000.0,0.03896,522142000.0,0.03288,0.11015,0.413090519387453,,6043735000.0,4533340000.0,4852639000.0,2397338000.0,1433833000.0,263666000.0,-963505000.0,-0.2947060845861718
ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,7921,その他製品,プライム（内国株式）,2025-05-31,,Tokyo,54719463424.0,1.8142492,29678785000.0,4048828000.0,0.18280001,4075516000.0,0.13731,0.13994001,0.7572823301779016,,9331158000.0,7567975000.0,26111519000.0,208890000.0,19145987000.0,3206222000.0,18937097000.0,0.346076072662916
三光産業,7922,その他製品,スタンダード（内国株式）,2025-03-31,,Tokyo,3087801600.0,0.3610196,9666593000.0,82935000.0,-0.01722,86096000.0,-0.01298,-0.014630001,0.7407992845604443,,3070529000.0,2704658000.0,6603462000.0,1033512000.0,2280805000.0,1262473000.0,1247293000.0,0.40394207969838475
