会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
マツモト,7901,その他製品,スタンダード（内国株式）,2025-04-30,福岡県,975834880.0,1.3822032,2169091000.0,-265190000.0,-0.36387002,-653358000.0,-0.29173002,-0.62059,0.39565244909349306,,1260420000.0,718047000.0,605736000.0,348324000.0,219842000.0,247950000.0,-481119000.0,-0.4930332066015103
ソノコム,7902,その他製品,スタンダード（内国株式）,2025-03-31,,3359576576.0,0.3773957,2423114000.0,201970000.0,0.10731,210719000.0,0.08167,0.022950001,0.9354385066147092,,614996000.0,377123000.0,5067927000.0,0.0,3767450000.0,2285377000.0,6052694900.0,1.8016243306489823
ヨネックス,7906,その他製品,スタンダード（内国株式）,2025-03-31,東京都,325538119680.0,4.57689,138276000000.0,14180000000.0,0.15749,10591000000.0,0.08181,0.17809999,0.6316783963633377,30.743162,40125000000.0,24931000000.0,73216000000.0,11206000000.0,29478000000.0,276000000.0,33284200000.0,0.1022436328891927
きもと,7908,化学,スタンダード（内国株式）,2025-03-31,埼玉県,11139306496.0,0.59059966,11294000000.0,1341000000.0,0.11554,989000000.0,0.07456,0.044899996,0.8172350950273366,,4212000000.0,2572000000.0,16901000000.0,,12885000000.0,1185000000.0,13518500000.0,1.2135854242680495
ＴＯＰＰＡＮホールディングス,7911,その他製品,プライム（内国株式）,2025-03-31,東京都,1092680286208.0,0.8600084,1717960000000.0,84093000000.0,0.03408,89348000000.0,0.05185,0.06712,0.51431898777259,14.244011,1096481000000.0,822884000000.0,1406905000000.0,467596000000.0,768989000000.0,310633000000.0,527867100000.0,0.4830938259460064
大日本印刷,7912,その他製品,プライム（内国株式）,2025-03-31,東京都,1130763517952.0,0.9932372,1457609000000.0,93612000000.0,0.06276,110682000000.0,0.06321,0.07754,0.592253360294248,12.823518,709062000000.0,435780000000.0,824692000000.0,175759000000.0,254995000000.0,393125000000.0,390817500000.0,0.34562266450533813
共同印刷,7914,その他製品,プライム（内国株式）,2025-03-31,東京都,41643917312.0,0.65539366,99977000000.0,2336000000.0,0.0191,3310000000.0,0.040409997,0.06309,0.4984782195168347,,63256000000.0,26262000000.0,47780000000.0,13015000000.0,12254000000.0,17501000000.0,-3225300000.0,-0.07744948621993844
ＮＩＳＳＨＡ,7915,その他製品,プライム（内国株式）,2024-12-31,京都府,68130340864.0,0.6260311,195598000000.0,5818000000.0,0.025799999,3862000000.0,-0.00193,-0.00059999997,0.4552476274025042,9.799114,135260000000.0,63982000000.0,128627000000.0,72783000000.0,50970000000.0,8132000000.0,-940600000.0,-0.013805890122839707
光村印刷,7916,その他製品,スタンダード（内国株式）,2025-03-31,東京都,4794011136.0,0.27261934,14756503000.0,-158794000.0,-0.029849999,70563000.0,0.011030001,0.0095999995,0.6340731435456191,,9944576000.0,5381532000.0,10377351000.0,3552541000.0,4145913000.0,5158886000.0,4043995200.0,0.8435514823134529
ＺＡＣＲＯＳ,7917,化学,プライム（内国株式）,2025-03-31,東京都,77143457792.0,0.8519384,150735000000.0,10117000000.0,0.08805,6530000000.0,0.04325,0.07598,0.597689798994322,2.800559,53234000000.0,42566000000.0,86783000000.0,4669000000.0,14986000000.0,2667000000.0,35415900000.0,0.45909142542574405
