会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
大和,8247,小売業,スタンダード（内国株式）,2025-02-28,,Kanazawa,2254885120.0,0.39393303,16434068000.0,195888000.0,0.042779997,192548000.0,0.0152,0.0466,0.1944976032816064,,22072922000.0,16683521000.0,5631134000.0,7768659000.0,1897357000.0,3444715000.0,-5871302000.0,-2.6038142466433056
丸井グループ,8252,小売業,プライム（内国株式）,2025-03-31,,Tokyo,588718211072.0,2.430962,254392000000.0,44518000000.0,0.20697,26588000000.0,0.0,,0.2336721247977884,20.747675,806717000000.0,276565000000.0,737587000000.0,636479000000.0,49250000000.0,46523000000.0,-587229000000.0,-0.9974704178603745
クレディセゾン,8253,その他金融業,プライム（内国株式）,2025-03-31,,Tokyo,578252570624.0,0.84279317,492235000000.0,161120000000.0,0.24849,66397000000.0,0.13193,0.0934,0.15107180405309792,11.890416,3952115000000.0,307538000000.0,3926828000000.0,3413114000000.0,139399000000.0,44436000000.0,-3273715000000.0,-5.6613929039127155
さいか屋,8254,小売業,スタンダード（内国株式）,2024-08-31,,Kawasaki,2467133952.0,3.1111388,4950143000.0,110549000.0,0.02852,72701000.0,0.026770001,0.17472,0.052273409842891215,,11189787000.0,1748848000.0,2590170000.0,8655317000.0,1649669000.0,221110000.0,-7005648000.0,-2.839589635706979
アクシアル　リテイリング,8255,小売業,プライム（内国株式）,2025-03-31,,Nagaoka,107545288704.0,1.2138156,281870000000.0,12065000000.0,0.03867,9006000000.0,0.03158,0.10491,0.6599751655629139,13.733031,46004000000.0,31765000000.0,39605000000.0,2306000000.0,21887000000.0,3778000000.0,19581000000.0,0.18207213199169842
井筒屋,8260,小売業,スタンダード（内国株式）,2025-02-28,,Kitakyushu,4811192832.0,0.4106426,22158000000.0,1043000000.0,0.023710001,999000000.0,0.04166,0.079959996,0.2678952691313631,,32575000000.0,24772000000.0,7056000000.0,14490000000.0,2774000000.0,1399000000.0,-11716000000.0,-2.435154941634233
イオン,8267,小売業,プライム（内国株式）,2025-02-28,,Chiba,4777356820480.0,4.87637,10134876000000.0,237753000000.0,0.021930002,28783000000.0,0.00184,0.02991,0.07594337989314061,29.511728,11712096000000.0,8443663000000.0,8693526000000.0,3889895000000.0,1258383000000.0,326209000000.0,-2631512000000.0,-0.5508301135722162
イズミ,8273,小売業,プライム（内国株式）,2025-02-28,,Hiroshima,235632492544.0,0.83157074,524142000000.0,25430000000.0,0.050479997,11919000000.0,0.024330001,0.04364,0.5012543648209041,10.556962,270395000000.0,126950000000.0,119851000000.0,139454000000.0,15717000000.0,4667000000.0,-123737000000.0,-0.5251270682751633
フォーバル,8275,卸売業,スタンダード（内国株式）,2025-03-31,,Tokyo,37738680320.0,2.2525182,72629302000.0,3740402000.0,0.01288,2168441000.0,0.027980002,0.12637,0.41641228446762196,,22425581000.0,18326829000.0,28565996000.0,2725900000.0,11408399000.0,2596057000.0,8682499000.0,0.23006896177550282
平和堂,8276,小売業,プライム（内国株式）,2025-02-28,,Hikone,148019036160.0,0.7900339,444897000000.0,13363000000.0,0.027090002,10727000000.0,0.024300002,0.058029998,0.616852027492302,16.499449,115843000000.0,84532000000.0,64602000000.0,20336000000.0,26817000000.0,3871000000.0,6481000000.0,0.04378490880723216
フジ,8278,小売業,プライム（内国株式）,2025-02-28,,Matsuyama,178406653952.0,0.82160383,808926000000.0,12960000000.0,0.009430001,3818000000.0,0.00598,0.02251,0.5287779742015697,,193781000000.0,121331000000.0,78744000000.0,69825000000.0,26291000000.0,24481000000.0,-43534000000.0,-0.24401556240000302
