会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
アーキテクツ・スタジオ・ジャパン,6085,サービス業,グロース（内国株式）,2025-03-31,東京都,3120954368,27.81755,897496000.0,-96615000.0,-0.18981001,-79904000.0,-0.088070005,-0.54915,0.04535616780918806,,1896149000.0,575656000.0,630582000.0,1338209000.0,211375000.0,,-1265567000.0,-0.4055064095060809
シンメンテホールディングス,6086,サービス業,グロース（内国株式）,2025-02-28,東京都,21193345024,5.9174094,25707509000.0,1534311000.0,0.06613,1033141000.0,0.04152,0.30894,0.3917846043447478,10.783277,5514349000.0,4776463000.0,7731416000.0,392848000.0,4140204000.0,343512000.0,2457525400.0,0.11595741008401562
アビスト,6087,サービス業,スタンダード（内国株式）,2024-09-30,東京都,12395672576,1.805482,10002339000.0,903483000.0,0.07462,611042000.0,0.05628,0.08461001,0.7312426995703081,18.497625,2521062000.0,1709419000.0,6138575000.0,50000000.0,4488541000.0,738504000.0,4134465800.0,0.3335410623869644
シグマクシス・ホールディングス,6088,サービス業,プライム（内国株式）,2025-03-31,東京都,73118449664,5.3161073,26293590000.0,5638919000.0,0.25885,4394662000.0,0.0,,0.7229704627414348,7.2997575,5468793000.0,4781485000.0,14073977000.0,16262000.0,6945511000.0,3024643000.0,10722434100.0,0.146644713465242
ウィルグループ,6089,サービス業,プライム（内国株式）,2025-03-31,東京都,22745694208,1.3527044,139705000000.0,2339000000.0,0.01122,1155000000.0,0.00977,0.078779995,0.348376499809707,,32563000000.0,25208000000.0,26551000000.0,6605000000.0,6936000000.0,2160000000.0,-4500000000.0,-0.19783964203727328
ヒューマン・メタボローム・テクノロジーズ,6090,サービス業,スタンダード（内国株式）,2025-06-30,山形県,4149777408,2.1819396,1455004000.0,249521000.0,-0.55026,256420000.0,0.17594999,0.13292,0.803752368286626,21.563421,466011000.0,449943000.0,1864807000.0,110468000.0,1562417000.0,49980000.0,1433782000.0,0.3455081704469099
ウエスコホールディングス,6091,サービス業,スタンダード（内国株式）,2024-07-31,岡山県,11635778560,0.71713805,15725320000.0,942252000.0,0.01313,768062000.0,0.04803,0.04773,0.779261425491288,,4582471000.0,4146458000.0,13454657000.0,90390000.0,9135177000.0,2197692000.0,10410570400.0,0.894703379435918
エンバイオ・ホールディングス,6092,サービス業,スタンダード（内国株式）,2025-03-31,東京都,4714264064,0.51533294,10668079000.0,839455000.0,0.0484,452689000.0,0.01095,0.00857,0.43129400425796366,,11964584000.0,4818328000.0,8957765000.0,10098880000.0,3293050000.0,836741000.0,-2421100300.0,-0.5135690888612896
エスクロー・エージェント・ジャパン,6093,サービス業,スタンダード（内国株式）,2025-02-28,東京都,5715744256,1.7393844,4741362000.0,482405000.0,0.027780002,349113000.0,0.04153,0.05915,0.7468997457208667,12.476191,1205087000.0,1023419000.0,3609028000.0,123047000.0,2993868000.0,57905000.0,2444474500.0,0.4276738759670636
フリークアウト・ホールディングス,6094,サービス業,グロース（内国株式）,2024-09-30,東京都,8862021632,0.85211754,51711413000.0,1658000.0,-0.01082,-3190273000.0,-0.013940001,-0.05171,0.3169763805122616,11.434978,24665392000.0,16997755000.0,31252343000.0,15102621000.0,19821084000.0,3607180000.0,9111977000.0,1.0282052310837781
