会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ビザスク,4490,情報・通信業,グロース（内国株式）,2024-02-29,,Tokyo,7102022656.0,7.641563,8967692000.0,-59140000.0,0.11447,-12635778000.0,0.05131,0.7286,0.0414313833800369,8.486188,6991672000.0,4114039000.0,6968148000.0,3299249000.0,4306994000.0,,1007745000.0,0.1418954921452731
コンピューターマネージメント,4491,情報・通信業,スタンダード（内国株式）,2025-03-31,,Osaka,6403031552.0,1.7757556,7902467000.0,514121000.0,0.046690002,397887000.0,0.050679997,0.11772,0.6969628185448822,16.679926,1556652000.0,988550000.0,4399612000.0,,3303448000.0,293471000.0,,
ゼネテック,4492,情報・通信業,スタンダード（内国株式）,2025-03-31,,Shinjuku,5813681152.0,2.513302,8124549000.0,693618000.0,0.009649999,421124000.0,0.044899996,0.17518,0.3361801396444798,26.249998,4745846000.0,3333979000.0,4620133000.0,2259070000.0,1985959000.0,,-273111000.0,-0.0469772925035707
サイバーセキュリティクラウド,4493,情報・通信業,グロース（内国株式）,2024-12-31,,Shinagawa-ku,17880436736.0,4.59296,3857729000.0,773603000.0,0.19101,575100000.0,0.11597,0.19079,0.5656887059510742,21.318682,1310077000.0,1020003000.0,2212246000.0,383409000.0,1667410000.0,,1284001000.0,0.0718103824284574
バリオセキュア,4494,情報・通信業,スタンダード（内国株式）,2025-02-28,,Tokyo,4063337984.0,0.6775384,2667539000.0,217167000.0,0.21583,72049000.0,0.12833,0.059510004,0.7776787694159636,,1684359000.0,616805000.0,1568123000.0,1170392000.0,759914000.0,65253000.0,-410478000.0,-0.1010199007850979
アイキューブドシステムズ,4495,情報・通信業,グロース（内国株式）,2024-06-30,,Fukuoka,13159560192.0,5.1236196,2949083000.0,692163000.0,0.19702,463463000.0,0.14897999,0.21233,0.7139105262662091,21.138147,1029675000.0,1029673000.0,2525326000.0,,1812591000.0,271938000.0,,
コマースＯｎｅホールディングス,4496,情報・通信業,グロース（内国株式）,2025-03-31,,Chiyoda,5693705728.0,2.2195418,3693315000.0,638412000.0,0.14357,91594000.0,0.03871,0.053189997,0.726832495948463,10.619236,948307000.0,852566000.0,2379069000.0,54438000.0,1864160000.0,443689000.0,1809722000.0,0.3178460718649912
サイバートラスト,4498,情報・通信業,グロース（内国株式）,2025-03-31,,Tokyo,24625223680.0,3.7773876,7442037000.0,1421398000.0,0.16290002,969684000.0,0.12607999,0.15806,0.6868133256432348,,2999603000.0,2415789000.0,7096422000.0,65155000.0,5560958000.0,157975000.0,5495803000.0,0.2231777900341898
Ｓｐｅｅｅ,4499,情報・通信業,スタンダード（内国株式）,2024-09-30,,Tokyo,24484323328.0,3.1591036,15722196000.0,537072000.0,-0.08881,244192000.0,-0.01329,-0.03385,0.5355472813296025,14.877878,4698537000.0,3449937000.0,8367149000.0,1703062000.0,4988577000.0,202574000.0,3285515000.0,0.1341885154834041
武田薬品工業,4502,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,7008089538560.0,1.0097402,4581551000000.0,486061000000.0,0.16885,107928000000.0,0.03056,0.0187,0.4867291244512344,31.611938,7312365000000.0,2506521000000.0,2521192000000.0,4515265000000.0,385113000000.0,351124000000.0,-4130152000000.0,-0.5893406437339341
