会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
極洋,1301,水産・農林業,プライム（内国株式）,2025-03-31,,Tokyo,59743211520,0.8746919,302681000000.0,11080000000.0,0.03432,6740000000.0,0.0,,0.3652267498366435,17.50174,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,-72402000000.0,-1.2118866421461503
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,2024-12-31,,Shinagawa,4670722048,2.3064134,194643000.0,-212850000.0,-5.45098,-236442000.0,-2.7095098,,0.9824758843873473,,39410000.0,39410000.0,2232073000.0,,2173358000.0,,,
ニッスイ,1332,水産・農林業,プライム（内国株式）,2025-03-31,,Tokyo,326688473088,1.236742,886126000000.0,31783000000.0,0.0456,25381000000.0,0.027520001,0.097279996,0.4363657269585653,12.13554,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,-200563000000.0,-0.6139273850227779
マルハニチロ,1333,水産・農林業,プライム（内国株式）,2025-03-31,,Tokyo,177550721024,0.78390545,1078631000000.0,30382000000.0,0.03577,23264000000.0,0.0214,0.11533,0.33699984292678775,13.438811,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,-221671000000.0,-1.248493944274302
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,2025-02-28,,Tokyo,26488199168,20.82406,2144641000.0,594987000.0,-1.1743599,425072000.0,0.118090004,,0.7590650897301636,,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,483686000.0,0.018260433521065256
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,2025-03-31,,Minamiuonuma,43861434368,3.904697,53139000000.0,2420000000.0,-0.09883001,1502000000.0,0.026099999,0.08529,0.32655540297876834,6.962025,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13256000000.0,-0.3022244983778092
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,2025-05-31,,Maebashi,16780755968,0.6708814,64508666000.0,1511651000.0,0.049050003,1200256000.0,0.0186,0.04853,0.5071656318283071,,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,,
サカタのタネ,1377,水産・農林業,プライム（内国株式）,2025-05-31,,Yokohama,160146800640,0.9920537,92920000000.0,12258000000.0,0.12376001,9711000000.0,0.10451,0.060549997,0.844585466997581,17.539701,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,26657000000.0,0.16645352822204215
ホクト,1379,水産・農林業,プライム（内国株式）,2025-03-31,,Nagano,60988178432,1.0541608,83104000000.0,6628000000.0,0.00956,4441000000.0,0.06201,0.093100004,0.5278479836461625,,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-16743000000.0,-0.27452861243704707
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,2025-05-31,,,4403695104,11.906805,1301771000.0,279617000.0,,209170000.0,,,0.8409387789823908,,168282000.0,168279000.0,1020383000.0,,,,,
秋川牧園,1380,水産・農林業,スタンダード（内国株式）,2025-03-31,,Yamaguchi,4298362880,2.0142305,7957457000.0,-3198000.0,0.00243,28185000.0,0.0076099997,0.029140001,0.30618201423382474,,4939245000.0,2688933000.0,2933981000.0,3422129000.0,968035000.0,118784000.0,-2454094000.0,-0.5709369051688814
アクシーズ,1381,水産・農林業,スタンダード（内国株式）,2025-06-30,,Kagoshima,16959459328,0.7851601,26426000000.0,2121000000.0,0.11847,1720000000.0,0.06509,0.08128,0.8613758723828514,,3476000000.0,2945000000.0,13081000000.0,69000000.0,7743000000.0,631000000.0,7674000000.0,0.4524908401608214
ホーブ,1382,水産・農林業,スタンダード（内国株式）,2024-06-30,,Kamikawa,1886686336,2.4955091,2519019000.0,32705000.0,-0.06702,20012000.0,0.00995,0.03148,0.684833811158508,,354197000.0,205032000.0,984893000.0,8012000.0,351517000.0,,343505000.0,0.1820678898476954
ベルグアース,1383,水産・農林業,スタンダード（内国株式）,2024-10-31,,Uwajima,4825224192,2.4234424,7094887000.0,22459000.0,0.00691,39936000.0,0.00151,0.0098,0.3640227838875453,,3557188000.0,1972654000.0,2821698000.0,2167386000.0,924359000.0,157408000.0,-1243027000.0,-0.2576102063943229
ホクリヨウ,1384,水産・農林業,スタンダード（内国株式）,2025-03-31,,Sapporo,21434898432,2.1649313,19397000000.0,1932000000.0,0.14823,2181000000.0,0.07208,0.11241999,0.7364696086594504,,5064000000.0,3555000000.0,6795000000.0,1519000000.0,4194000000.0,530000000.0,2675000000.0,0.1247964859029382
光フードサービス,138A,小売業,グロース（内国株式）,2024-11-30,,Nagoya,2389728000,1.8439028,2566847000.0,217082000.0,0.092650004,100327000.0,0.041160002,,0.5178734835211373,,1161221000.0,519436000.0,1502113000.0,749016000.0,1321909000.0,,572893000.0,0.23973146734691145
