会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
リミックスポイント,3825,小売業,スタンダード（内国株式）,2025-03-31,,Tokyo,43676336128.0,1.6656407,21129000000.0,-1212000000.0,0.26825002,-593000000.0,0.071669996,0.07564,0.8718298203767707,,2633000000.0,2519000000.0,18657000000.0,319000000.0,5103000000.0,350000000.0,4784000000.0,0.10953299713556046
システムインテグレータ,3826,情報・通信業,スタンダード（内国株式）,2025-02-28,,Saitama,4869294080.0,1.2082628,4768979000.0,271549000.0,0.076680005,583408000.0,0.123380005,,0.8252660432345221,,865333000.0,855510000.0,4462962000.0,,2968589000.0,10000000.0,,
朝日ネット,3834,情報・通信業,プライム（内国株式）,2025-03-31,,Tokyo,18764931072.0,1.5016755,13078000000.0,2346000000.0,0.1503,1752000000.0,0.112799995,0.09995,0.8851694055589369,12.140469,1698000000.0,1696000000.0,8924000000.0,,4161000000.0,401000000.0,,
ｅＢＡＳＥ,3835,情報・通信業,プライム（内国株式）,2025-03-31,,Osaka,22896500736.0,3.3540275,5469897000.0,1731670000.0,0.13741,1250789000.0,0.22391,0.18381001,0.9069729430496575,17.957747,754694000.0,745042000.0,6422609000.0,,5349764000.0,1342828000.0,,
アバントグループ,3836,情報・通信業,プライム（内国株式）,2025-06-30,,Tokyo,57115725824.0,3.6657321,28227703000.0,4604154000.0,0.1342,3434688000.0,0.12166,0.23739,0.6393147678860939,14.162896,8775067000.0,8440619000.0,20765941000.0,33223000.0,14593169000.0,830184000.0,14559946000.0,0.25492009056955584
アドソル日進,3837,情報・通信業,プライム（内国株式）,2025-03-31,,Tokyo,24478498816.0,3.4368222,15463041000.0,1710918000.0,0.13246,1209503000.0,0.0801,0.17577,0.7157121043856094,13.772101,2810241000.0,2215390000.0,6679608000.0,,2887453000.0,1822796000.0,,
ＯＤＫソリューションズ,3839,情報・通信業,スタンダード（内国株式）,2025-03-31,,Osaka,5176096768.0,0.84867907,6472393000.0,516129000.0,-0.20833,263367000.0,0.03737,0.03985,0.6813046354624472,,2949154000.0,1787471000.0,5840706000.0,1144132000.0,3273321000.0,1183723000.0,2129189000.0,0.41135030804740935
パス,3840,情報・通信業,スタンダード（内国株式）,2025-03-31,,Tokyo,7848229376.0,3.120913,2253739000.0,-208368000.0,-0.25876,-276771000.0,-0.16129999,-0.19839,0.7609645886219178,,777412000.0,557829000.0,1540257000.0,293392000.0,154663000.0,,-138729000.0,-0.017676471131722438
ジーダット,3841,情報・通信業,スタンダード（内国株式）,2025-03-31,,Chuo,5454497792.0,2.1421824,2062768000.0,256991000.0,0.17219,213428000.0,0.061160002,0.04393,0.8410840432333062,,679107000.0,675407000.0,3107601000.0,,2545775000.0,132121000.0,,
ネクストジェン,3842,情報・通信業,スタンダード（内国株式）,2025-03-31,,Tokyo,3533687296.0,1.5587518,3620794000.0,262272000.0,0.14442,204883000.0,0.08179,0.14658,0.614379600599011,,1363745000.0,1049945000.0,2753732000.0,475770000.0,1809821000.0,,1334051000.0,0.3775237841531975
フリービット,3843,情報・通信業,プライム（内国株式）,2025-04-30,,Tokyo,36728160256.0,5.2898927,55073206000.0,5883783000.0,0.111169994,2748537000.0,0.05262,0.32386002,0.16028032419817345,10.175015,32022361000.0,15846408000.0,34104399000.0,21750041000.0,20677536000.0,1076831000.0,-1072505000.0,-0.029201163154497865
コムチュア,3844,情報・通信業,プライム（内国株式）,2025-03-31,,Tokyo,53413744640.0,2.8629787,36341000000.0,4631000000.0,0.09691,3160000000.0,0.088360004,0.18142,0.7210573581664129,14.267462,7143000000.0,6590000000.0,20843000000.0,200000000.0,12881000000.0,88000000.0,12681000000.0,0.2374108028835628
アイフリークモバイル,3845,情報・通信業,スタンダード（内国株式）,2025-03-31,,Tokyo,5249551360.0,6.530569,2004586000.0,-61871000.0,0.02623,-110605000.0,-0.02315,-0.08405,0.6175781235970794,,532402000.0,315050000.0,1383737000.0,287724000.0,1003616000.0,,715892000.0,0.1363720346570721
