会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
極洋,1301,水産・農林業,プライム（内国株式）,2025-03-31,東京都,57783443456,0.84599924,302681000000.0,11080000000.0,0.03432,6740000000.0,0.0,,0.3652267498366435,16.927628,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,30332100000.0,0.5249271795838335
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,2024-12-31,東京都,4534492672,2.239143,194643000.0,-212850000.0,-5.45098,-236442000.0,-2.7095098,,0.9824758843873473,,39410000.0,39410000.0,2232073000.0,,2173358000.0,,2192663000.0,0.4835519998829099
ニッスイ,1332,水産・農林業,プライム（内国株式）,2025-03-31,東京都,313657294848,1.18741,886126000000.0,31783000000.0,0.0456,25381000000.0,0.027520001,0.097279996,0.4363657269585653,11.651469,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,4946100000.0,0.015769121526081217
マルハニチロ,1333,水産・農林業,プライム（内国株式）,2025-03-31,東京都,170902011904,0.7545507,1078631000000.0,30382000000.0,0.03577,23264000000.0,0.0214,0.11533,0.33699984292678775,12.935571,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,40029700000.0,0.234226031361677
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,2025-02-28,東京都,24880709632,19.56031,2144641000.0,594987000.0,-1.1743599,425072000.0,0.118090004,,0.7590650897301636,,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,1088439000.0,0.04374630049137016
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,2025-03-31,新潟県,42067103744,3.7449594,53139000000.0,2420000000.0,-0.09883001,1502000000.0,0.026099999,0.08529,0.32655540297876834,6.677215,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13711800000.0,-0.3259506545409774
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,2025-05-31,群馬県,16045343744,0.6414802,64508666000.0,1511651000.0,0.049050003,1200256000.0,0.0186,0.04853,0.5071656318283071,,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,15555612000.0,0.9694782641111612
サカタのタネ,1377,水産・農林業,プライム（内国株式）,2025-05-31,神奈川県,154087194624,0.9545165,92920000000.0,12258000000.0,0.12376001,9711000000.0,0.10451,0.060549997,0.844585466997581,16.876038,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,97552800000.0,0.6331012790390926
ホクト,1379,水産・農林業,プライム（内国株式）,2025-03-31,長野県,58603868160,1.0129488,83104000000.0,6628000000.0,0.00956,4441000000.0,0.06201,0.093100004,0.5278479836461625,,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-6330200000.0,-0.10801676064653819
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,2025-05-31,,4155855104,11.23669,1301771000.0,279617000.0,,209170000.0,,,0.8409387789823908,,168282000.0,168279000.0,1020383000.0,,,,852101000.0,0.20503626297746883
