会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
マツモト,7901,その他製品,スタンダード（内国株式）,2025-04-30,福岡県,983759296.0,1.3934276,2169091000.0,-265190000.0,-0.36387002,-653358000.0,-0.29173002,-0.62059,0.39565244909349306,,1260420000.0,718047000.0,605736000.0,348324000.0,219842000.0,247950000.0,-481119000.0,-0.48906170641156516
ソノコム,7902,その他製品,スタンダード（内国株式）,2025-03-31,,3359576576.0,0.3773957,2423114000.0,201970000.0,0.10731,210719000.0,0.08167,0.022950001,0.9354385066147092,,614996000.0,377123000.0,5067927000.0,0.0,3767450000.0,2285377000.0,6052694900.0,1.8016243306489823
ヨネックス,7906,その他製品,スタンダード（内国株式）,2025-03-31,東京都,319984304128.0,4.4988065,138276000000.0,14180000000.0,0.15749,10591000000.0,0.08181,0.17809999,0.6316783963633377,30.218672,40125000000.0,24931000000.0,73216000000.0,11206000000.0,29478000000.0,276000000.0,33284200000.0,0.10401822705242963
きもと,7908,化学,スタンダード（内国株式）,2025-03-31,埼玉県,11049109504.0,0.5858175,11294000000.0,1341000000.0,0.11554,989000000.0,0.07456,0.044899996,0.8172350950273366,,4212000000.0,2572000000.0,16901000000.0,,12885000000.0,1185000000.0,13518500000.0,1.2234922637979133
ＴＯＰＰＡＮホールディングス,7911,その他製品,プライム（内国株式）,2025-03-31,東京都,1084641705984.0,0.8536815,1717960000000.0,84093000000.0,0.03408,89348000000.0,0.05185,0.06712,0.51431898777259,14.139221,1096481000000.0,822884000000.0,1406905000000.0,467596000000.0,768989000000.0,310633000000.0,527867100000.0,0.4866741681494836
大日本印刷,7912,その他製品,プライム（内国株式）,2025-03-31,東京都,1127618707456.0,0.9904749,1457609000000.0,93612000000.0,0.06276,110682000000.0,0.06321,0.07754,0.592253360294248,12.787854,709062000000.0,435780000000.0,824692000000.0,175759000000.0,254995000000.0,393125000000.0,390817500000.0,0.3465865699246124
共同印刷,7914,その他製品,プライム（内国株式）,2025-03-31,東京都,41784705024.0,0.65760934,99977000000.0,2336000000.0,0.0191,3310000000.0,0.040409997,0.06309,0.4984782195168347,,63256000000.0,26262000000.0,47780000000.0,13015000000.0,12254000000.0,17501000000.0,-3225300000.0,-0.0771885310222359
ＮＩＳＳＨＡ,7915,その他製品,プライム（内国株式）,2024-12-31,京都府,65431642112.0,0.6012335,195598000000.0,5818000000.0,0.025799999,3862000000.0,-0.00193,-0.00059999997,0.4552476274025042,9.410963,135260000000.0,63982000000.0,128627000000.0,72783000000.0,50970000000.0,8132000000.0,-940600000.0,-0.014375307873061866
光村印刷,7916,その他製品,スタンダード（内国株式）,2025-03-31,東京都,4628594688.0,0.26321268,14756503000.0,-158794000.0,-0.029849999,70563000.0,0.011030001,0.0095999995,0.6340731435456191,,9944576000.0,5381532000.0,10377351000.0,3552541000.0,4145913000.0,5158886000.0,4043995200.0,0.8736982761710329
ＺＡＣＲＯＳ,7917,化学,プライム（内国株式）,2025-03-31,東京都,74455785472.0,0.8222569,150735000000.0,10117000000.0,0.08805,6530000000.0,0.04325,0.07598,0.597689798994322,2.702988,53234000000.0,42566000000.0,86783000000.0,4669000000.0,14986000000.0,2667000000.0,35415900000.0,0.47566350654266587
ヴィア・ホールディングス,7918,小売業,スタンダード（内国株式）,2025-03-31,東京都,5018825216.0,4.66003,17373000000.0,199000000.0,0.00391,-19000000.0,-0.0010899999,-0.0175,0.18177533385703062,,5208000000.0,2127000000.0,1936000000.0,2582000000.0,927000000.0,371000000.0,-3012300000.0,-0.6002002202421388
野崎印刷紙業,7919,その他製品,スタンダード（内国株式）,2025-03-31,京都府,3221060096.0,0.74218106,14570564000.0,690033000.0,0.03896,522142000.0,0.03288,0.11015,0.413090519387453,,6043735000.0,4533340000.0,4852639000.0,2397338000.0,1433833000.0,263666000.0,-1006529800.0,-0.312484017684096
ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,7921,その他製品,プライム（内国株式）,2025-05-31,東京都,53170798592.0,1.7501535,29678785000.0,4048828000.0,0.18864,4075516000.0,0.13561,0.13981,0.7572823301779016,,9331158000.0,7567975000.0,26111519000.0,208890000.0,19145987000.0,3206222000.0,19024716400.0,0.35780384917638663
三光産業,7922,その他製品,スタンダード（内国株式）,2025-03-31,,3134118656.0,0.3664349,9666593000.0,82935000.0,-0.01722,86096000.0,-0.01298,-0.014630001,0.7407992845604443,,3070529000.0,2704658000.0,6603462000.0,1033512000.0,2280805000.0,1262473000.0,4416664100.0,1.4092204491188225
トーイン,7923,その他製品,スタンダード（内国株式）,2025-03-31,東京都,4524889088.0,0.41229057,14582228000.0,891460000.0,0.07324,597660000.0,0.041490003,0.05756,0.5338223670134548,,9482469000.0,5726720000.0,8733320000.0,3928618000.0,2683844000.0,3159502000.0,1462502400.0,0.32321287252731884
前澤化成工業,7925,化学,プライム（内国株式）,2025-03-31,東京都,31488878592.0,0.75832945,24166000000.0,2165000000.0,0.09149,1714000000.0,0.07586,0.04555,0.8297829702811567,,8389000000.0,6879000000.0,28409000000.0,330000000.0,12905000000.0,9629000000.0,26760300000.0,0.8498333759906797
ムトー精工,7927,化学,スタンダード（内国株式）,2025-03-31,岐阜県,11523487744.0,0.65353274,27574022000.0,2047511000.0,0.07604,1510598000.0,0.05164,0.08191,0.5922142321688408,,11717345000.0,8073214000.0,19910168000.0,6653314000.0,10367739000.0,303414000.0,8405212800.0,0.7293983372678459
