会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
アーキテクツ・スタジオ・ジャパン,6085,サービス業,グロース（内国株式）,2025-03-31,東京都,3132428544,27.91982,897496000.0,-96615000.0,-0.18981001,-79904000.0,-0.088070005,-0.54915,0.04535616780918806,,1896149000.0,575656000.0,630582000.0,1338209000.0,211375000.0,,-1265567000.0,-0.4040210278456714
シンメンテホールディングス,6086,サービス業,グロース（内国株式）,2025-02-28,東京都,21212233728,5.9226832,25707509000.0,1534311000.0,0.06613,1033141000.0,0.04152,0.30894,0.3917846043447478,10.792888,5514349000.0,4776463000.0,7731416000.0,392848000.0,4140204000.0,343512000.0,2457525400.0,0.11585415432963496
アビスト,6087,サービス業,スタンダード（内国株式）,2024-09-30,東京都,12435465216,1.8112781,10002339000.0,903483000.0,0.07462,611042000.0,0.05628,0.08461001,0.7312426995703081,18.557009,2521062000.0,1709419000.0,6138575000.0,50000000.0,4488541000.0,738504000.0,4134465800.0,0.33247375375071775
シグマクシス・ホールディングス,6088,サービス業,プライム（内国株式）,2025-03-31,東京都,74456997888,5.4134274,26293590000.0,5638919000.0,0.25885,4394662000.0,0.0,,0.7229704627414348,7.4333916,5468793000.0,4781485000.0,14073977000.0,16262000.0,6945511000.0,3024643000.0,10722434100.0,0.14400841296514455
ウィルグループ,6089,サービス業,プライム（内国株式）,2025-03-31,東京都,22883129344,1.3608778,139705000000.0,2339000000.0,0.01122,1155000000.0,0.00977,0.078779995,0.348376499809707,,32563000000.0,25208000000.0,26551000000.0,6605000000.0,6936000000.0,2160000000.0,-4500000000.0,-0.19665142526408472
ヒューマン・メタボローム・テクノロジーズ,6090,サービス業,スタンダード（内国株式）,2025-06-30,山形県,4251960576,2.2356672,1455004000.0,249521000.0,-0.55026,256420000.0,0.17594999,0.13292,0.803752368286626,22.094395,466011000.0,449943000.0,1864807000.0,110468000.0,1562417000.0,49980000.0,1433782000.0,0.33720491391498736
ウエスコホールディングス,6091,サービス業,スタンダード（内国株式）,2024-07-31,岡山県,11337076736,0.69872844,15725320000.0,942252000.0,0.01313,768062000.0,0.04803,0.04773,0.779261425491288,,4582471000.0,4146458000.0,13454657000.0,90390000.0,9135177000.0,2197692000.0,10410570400.0,0.9182764342541714
エンバイオ・ホールディングス,6092,サービス業,スタンダード（内国株式）,2025-03-31,東京都,4714264064,0.51533294,10668079000.0,839455000.0,0.0484,452689000.0,0.01095,0.00857,0.43129400425796366,,11964584000.0,4818328000.0,8957765000.0,10098880000.0,3293050000.0,836741000.0,-2421100300.0,-0.5135690888612896
エスクロー・エージェント・ジャパン,6093,サービス業,スタンダード（内国株式）,2025-02-28,東京都,5715744256,1.7393844,4741362000.0,482405000.0,0.027780002,349113000.0,0.04153,0.05915,0.7468997457208667,12.476191,1205087000.0,1023419000.0,3609028000.0,123047000.0,2993868000.0,57905000.0,2444474500.0,0.4276738759670636
フリークアウト・ホールディングス,6094,サービス業,グロース（内国株式）,2024-09-30,東京都,8983656448,0.8638133,51711413000.0,1658000.0,-0.01082,-3190273000.0,-0.013940001,-0.05171,0.3169763805122616,11.5919285,24665392000.0,16997755000.0,31252343000.0,15102621000.0,19821084000.0,3607180000.0,9111977000.0,1.0142837777404732
メドピア,6095,サービス業,プライム（内国株式）,2024-09-30,東京都,15123584000,1.5431927,14948380000.0,1291460000.0,0.04151,1481764000.0,0.11837,0.16350001,0.6076187847072706,18.684565,6103387000.0,2563680000.0,10358728000.0,3160048000.0,7280009000.0,128122000.0,4345026400.0,0.28730136983402876
レアジョブ,6096,サービス業,スタンダード（内国株式）,2025-03-31,東京都,3430692864,1.850428,9715742000.0,442193000.0,0.0047,268908000.0,0.020480001,0.10877,0.3278891819684764,28.425198,3959707000.0,2440109000.0,3444468000.0,2100389000.0,2552993000.0,2524000.0,-513472200.0,-0.14967011631618912
リクルートホールディングス,6098,サービス業,プライム（内国株式）,2025-03-31,東京都,11154212519936,7.994694,3557478000000.0,490543000000.0,0.17493,408504000000.0,0.11967,0.23843001,0.5834902454755195,25.770742,1144893000000.0,802185000000.0,1470378000000.0,208940000000.0,808625000000.0,163102000000.0,439656400000.0,0.039416175656882914
エラン,6099,サービス業,プライム（内国株式）,2024-12-31,長野県,46568050688,3.6205988,47513703000.0,3577738000.0,0.06625,2354670000.0,0.046529997,0.19754,0.578629505450971,13.117547,9104117000.0,8918601000.0,16872798000.0,76617000.0,6849398000.0,2558748000.0,9559804600.0,0.2052867676177702
ツガミ,6101,機械,プライム（内国株式）,2025-03-31,東京都,109962076160,1.7236838,107411000000.0,23310000000.0,0.27304,10901000000.0,0.10935,0.22714001,0.4940615524798517,20.863758,43192000000.0,38317000000.0,102799000000.0,11524000000.0,27729000000.0,4859000000.0,63008300000.0,0.5730002760980972
