会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
極洋,1301,水産・農林業,プライム（内国株式）,2025-03-31,,Tokyo,59208728576,0.86686665,302681000000.0,11080000000.0,0.03432,6740000000.0,0.0,,0.3652267498366435,17.345163,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,-72402000000.0,-1.2228264605794599
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,2024-12-31,,Shinagawa,4781003264,2.3608704,194643000.0,-212850000.0,-5.45098,-236442000.0,-2.7095098,,0.9824758843873473,,39410000.0,39410000.0,2232073000.0,,2173358000.0,,,
ニッスイ,1332,水産・農林業,プライム（内国株式）,2025-03-31,,Tokyo,319718293504,1.2103552,886126000000.0,31783000000.0,0.0456,25381000000.0,0.027520001,0.097279996,0.4363657269585653,11.876618,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,-200563000000.0,-0.6273116179931404
マルハニチロ,1333,水産・農林業,プライム（内国株式）,2025-03-31,,Tokyo,173420462080,0.7656699,1078631000000.0,30382000000.0,0.03577,23264000000.0,0.0214,0.11533,0.33699984292678775,13.126192,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,-221671000000.0,-1.2782286319692868
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,2025-02-28,,Tokyo,25760280576,20.251797,2144641000.0,594987000.0,-1.1743599,425072000.0,0.118090004,,0.7590650897301636,,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,483686000.0,0.018776425923350937
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,2025-03-31,,Minamiuonuma,42984206336,3.826603,53139000000.0,2420000000.0,-0.09883001,1502000000.0,0.026099999,0.08529,0.32655540297876834,6.822785,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13256000000.0,-0.30839234058156556
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,2025-05-31,,Maebashi,16959037440,0.678009,64508666000.0,1511651000.0,0.049050003,1200256000.0,0.0186,0.04853,0.5071656318283071,,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,,
サカタのタネ,1377,水産・農林業,プライム（内国株式）,2025-05-31,,Yokohama,157766238208,0.9773069,92920000000.0,12258000000.0,0.12376001,9711000000.0,0.10451,0.060549997,0.844585466997581,17.278976,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,26657000000.0,0.16896517469634564
ホクト,1379,水産・農林業,プライム（内国株式）,2025-03-31,,Nagano,60831318016,1.0514494,83104000000.0,6628000000.0,0.00956,4441000000.0,0.06201,0.093100004,0.5278479836461625,,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-16743000000.0,-0.27523651543430666
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,2025-05-31,,,4279774976,11.571748,1301771000.0,279617000.0,,209170000.0,,,0.8409387789823908,,168282000.0,168279000.0,1020383000.0,,,,,
秋川牧園,1380,水産・農林業,スタンダード（内国株式）,2025-03-31,,Yamaguchi,4273348096,2.0025084,7957457000.0,-3198000.0,0.00243,28185000.0,0.0076099997,0.029140001,0.30618201423382474,,4939245000.0,2688933000.0,2933981000.0,3422129000.0,968035000.0,118784000.0,-2454094000.0,-0.5742789833332594
アクシーズ,1381,水産・農林業,スタンダード（内国株式）,2025-06-30,,Kagoshima,16959459328,0.7851601,26426000000.0,2121000000.0,0.11847,1720000000.0,0.06509,0.08128,0.8613758723828514,,3476000000.0,2945000000.0,13081000000.0,69000000.0,7743000000.0,631000000.0,7674000000.0,0.4524908401608214
ホーブ,1382,水産・農林業,スタンダード（内国株式）,2024-06-30,,Kamikawa,2190597376,2.8974907,2519019000.0,32705000.0,-0.06702,20012000.0,0.00995,0.03148,0.684833811158508,,354197000.0,205032000.0,984893000.0,8012000.0,351517000.0,,343505000.0,0.15680882473585142
ベルグアース,1383,水産・農林業,スタンダード（内国株式）,2024-10-31,,Uwajima,4865234432,2.4435375,7094887000.0,22459000.0,0.00691,39936000.0,0.00151,0.0098,0.3640227838875453,,3557188000.0,1972654000.0,2821698000.0,2167386000.0,924359000.0,157408000.0,-1243027000.0,-0.25549169672570465
ホクリヨウ,1384,水産・農林業,スタンダード（内国株式）,2025-03-31,,Sapporo,21248802816,2.1461356,19397000000.0,1932000000.0,0.14823,2181000000.0,0.07208,0.11241999,0.7364696086594504,,5064000000.0,3555000000.0,6795000000.0,1519000000.0,4194000000.0,530000000.0,2675000000.0,0.12588944530963264
光フードサービス,138A,小売業,グロース（内国株式）,2024-11-30,,Nagoya,2584160000,1.9939256,2566847000.0,217082000.0,0.092650004,100327000.0,0.041160002,,0.5178734835211373,,1161221000.0,519436000.0,1502113000.0,749016000.0,1321909000.0,,572893000.0,0.22169409014921676
エムビーエス,1401,建設業,グロース（内国株式）,2025-05-31,,Ube,10196385792,2.8246002,4713000000.0,626045000.0,0.14616,472287000.0,0.100150004,0.1317,0.7577554803440234,,1181763000.0,1169950000.0,3290133000.0,10775000.0,1827413000.0,712307000.0,1816638000.0,0.17816489460660848
ウエストホールディングス,1407,建設業,スタンダード（内国株式）,2024-08-31,,Tokyo,75749769216,2.4068117,50390000000.0,10598000000.0,0.08173,6757000000.0,0.11567,0.16892,0.2639300380469749,7.2208986,92501000000.0,34507000000.0,76518000000.0,75335000000.0,27676000000.0,1742000000.0,-47659000000.0,-0.62916363301518
ショーボンドホールディングス,1414,建設業,プライム（内国株式）,2025-06-30,,Tokyo,249164169216,2.3707116,90712000000.0,20794000000.0,0.19748,15061000000.0,0.16603,0.14265001,0.8137586620727033,15.684572,22763000000.0,20538000000.0,100241000000.0,,32523000000.0,10286000000.0,,
ミライト・ワン,1417,建設業,プライム（内国株式）,2025-03-31,,Tokyo,258223685632,1.0210683,578599000000.0,27985000000.0,0.00847,17179000000.0,0.02596,0.06068,0.4862953960936439,13.376235,267864000000.0,160983000000.0,321194000000.0,127491000000.0,53475000000.0,19397000000.0,-74016000000.0,-0.2866352086132089
インターライフホールディングス,1418,建設業,スタンダード（内国株式）,2025-02-28,,Chuo,6657741312,1.5323664,16940669000.0,875644000.0,0.10711,705077000.0,0.04559,0.19715999,0.4465537708712912,,5223472000.0,4049042000.0,6957357000.0,1749188000.0,1513427000.0,536023000.0,-235761000.0,-0.03541155910865165
タマホーム,1419,建設業,プライム（内国株式）,2025-05-31,,Tokyo,106531667968,3.110777,200817000000.0,4113000000.0,0.11767,1478000000.0,0.00736,0.04099,0.3710212129748001,,58028000000.0,44837000000.0,67570000000.0,19049000000.0,31001000000.0,315000000.0,11952000000.0,0.11219199162065259
トライアルホールディングス,141A,小売業,グロース（内国株式）,2024-06-30,,Fukuoka City,295373176832,2.3417614,717948000000.0,19161000000.0,0.03694,11439000000.0,0.0146200005,0.09861,0.40785961844253193,17.147118,165444000000.0,143010000000.0,152300000000.0,16144000000.0,91947000000.0,5777000000.0,75803000000.0,0.2566346775730236
サンヨーホームズ,1420,建設業,スタンダード（内国株式）,2025-03-31,,Osaka,8012228608,0.53272814,45518339000.0,956035000.0,0.00754,673078000.0,0.02262,0.07575,0.3030685213634473,,35232145000.0,23316348000.0,45291402000.0,18407000000.0,10432054000.0,30140000.0,-7974946000.0,-0.9953467867900356
